Desc1,Desc2,Desc3,Desc4,Desc5
219888,11.5526,0.0879428,0.0225956,7.80864
2.57742,0.976519,0.596877,0.0932243,5.28953
13.6811,2.81927,0.303451,0.0525636,6.31624
46.6266,5.17159,0.183233,0.0414968,6.63931
9.1932,2.10555,0.391845,0.0630398,5.89657
88.1104,7.04522,0.144778,0.0271014,7.43923
163696,8.86911,0.130871,0.021979,7.9068
43586,4.36504,0.253806,0.0402989,6.84611
101947,7.31043,0.151761,0.0270753,7.58647
80.6802,6.39404,0.174957,0.0268751,7.64665
43.7399,4.37265,0.253134,0.0402266,6.84876
42553,4.25144,0.268968,0.0439556,6.7355
15.3151,2.28774,0.410677,0.0825979,5.56736
10.8812,2.30188,0.377298,0.0612082,6.05047
81.4996,6.54821,0.164774,0.0302869,7.3378
31706,4.02069,0.245189,0.0481541,6.49477
25.7516,3.19836,0.321198,0.049351,6.45807
147212,7.82119,0.168792,0.0938904,4.81062
52.1401,4.66939,0.248555,0.0430256,6.77705
50.3811,4.62919,0.256939,0.0468239,6.70894
0.686352,0.525492,0.753185,0.156921,4.00397
11.6646,2.28507,0.389631,0.0660896,5.91854
152521,9.00961,0.124837,0.0246275,7.80535
48.6766,5.16206,0.186917,0.0459925,6.5278
89.2641,7.02104,0.145268,0.030502,7.29361
67.6479,6.03772,0.168766,0.0352792,7.07984
26.9909,3.62315,0.272177,0.0523707,6.31513
42.3881,4.84275,0.200715,0.0413349,6.64716
80.8179,6.52015,0.165453,0.0304473,7.32959
13.6623,2.73029,0.317639,0.0636702,5.91585
29.7568,4.05267,0.226916,0.0468745,6.45016
23.5428,3.23684,0.305192,0.0592697,6.20528
24.0279,3.26705,0.3033,0.0589793,6.21776
77.9687,5.73318,0.213977,0.0440142,6.94123
0.693494,0.528765,0.751936,0.156563,4.00906
42.3876,4.84054,0.199884,0.0413736,6.64643
22.3531,3.37592,0.265608,0.071065,5.70925
5.8142,1.81622,0.413358,0.0852943,5.27535
96.1685,7.3303,0.137577,0.0283064,7.46943
16.7154,2.96766,0.31144,0.0565276,6.02989
45.6638,5.0992,0.192688,0.0316515,7.30399
13574,2.72028,0.318067,0.064124,5.90098
16.1185,2.98506,0.302984,0.0525937,6.23694
3.90698,1.48915,0.467666,0.0788307,5.42924
66.2573,6.10428,0.160487,0.0271231,7.47857
54.3839,5.63846,0.172244,0.0414654,6.69561
10448,2.2806,0.376943,0.0662542,5.86995
33.4027,4.09595,0.235482,0.040543,6.72309
50.6356,4.64047,0.256839,0.0467778,6.7142
56.8448,5.39699,0.198353,0.0363359,6.97877
23.5439,3.35663,0.284483,0.0606894,6.06919
18.8159,3.03574,0.320259,0.058916,6.04866
220015,11.5569,0.0881459,0.0225677,7.81098
44.9298,5.11608,0.184795,0.036773,6.97678
24.3608,3.58702,0.268909,0.0512194,6.25
33.6075,4.18457,0.238779,0.0494551,6.39098
10891,2.30355,0.376796,0.0611556,6.05146
80.5187,6.39518,0.174461,0.0268832,7.64663
40487,4.29341,0.263665,0.0511896,6.44806
20.9581,3.22005,0.307458,0.0544101,6.21961
8.5846,2.09079,0.390198,0.0637201,5.85139
23.8401,3.34184,0.30783,0.0566479,6.2121
20936,2.81477,0.361282,0.0585722,6.1435
36.3214,4.62278,0.206867,0.0472659,6.34604
5.79298,1.81493,0.412918,0.0853104,5.2729
37.0036,4.64473,0.204942,0.0489541,6.33582
91.1343,7.29483,0.139196,0.0325282,7.12236
15.0145,2.94806,0.293026,0.076537,5.43621
6.29702,1.67834,0.451476,0.0726773,5.66363
19.6068,3.16204,0.295337,0.0510722,6.31733
20.4133,2.76128,0.365494,0.0608371,6.05112
54.07,4.71601,0.241921,0.0463266,6.71247
15.9806,2.80936,0.326444,0.0665642,5.88654
23.0325,3.32428,0.285091,0.061308,6.04688
233246,12157,0.0701605,0.0486589,6.0932
32.3892,4.08192,0.229739,0.0452516,6.58001
65713,5.25697,0.212227,0.0286086,7.44
137702,7.50918,0.174093,0.0571306,6.26503
31.9037,4.31746,0.214491,0.0505263,6.29348
85.9254,6.32366,0.193289,0.0324112,7.42446
43.1715,4.82186,0.202876,0.0493014,6.20943
94.1084,7.1105,0.1489,0.0359938,6.9792
114392,7.35237,0.171163,0.023536,7.92819
157537,9.47925,0.112041,0.0215946,7.89016
348118,13.9595,0.0823613,0.0188183,8.12043
1630.59,23.4513,0.14602,0.0765351,5.90355
46.9684,4.79835,0.210081,0.0483224,6.51908
46.4628,4.7458,0.212013,0.0397722,6.79238
137271,8.14462,0.147527,0.0307157,7.44121
1.0137,0.684868,0.690249,0.17713,3.98339
266469,12.3703,0.0883721,0.0228183,7.84544
58.7286,4.92968,0.221901,0.034622,7.05203
192183,9.73004,0.137956,0.0218192,8.05964
154973,7.93794,0.183591,0.0296129,7.6448
15.0327,2.62153,0.349496,0.0670857,5.97933
177.7,9.55209,0.126004,0.0221829,7.90993
111879,7.52408,0.148504,0.0310775,7.25967
160517,9.38501,0.117735,0.0168615,8.36237
107522,7.67244,0.135668,0.0215182,7.94001
172.55,9.8288,0.107395,0.0214226,7.87655
62.0654,5.56137,0.196778,0.0318612,7.32689
46345,4.85223,0.210169,0.0648008,5.85337
28929,4.14833,0.216909,0.0457982,6.45655
63.4464,5.30053,0.217103,0.0408818,6.96232
29.1341,4.10263,0.234086,0.0430537,6.61134
33.91,4.13546,0.238697,0.037989,6.90296
13.4582,2.76447,0.31109,0.054705,6.22231
36.8201,4.41224,0.214814,0.0482259,6.45762
132078,7.89797,0.147387,0.0299413,7.30275
14.7321,2.52532,0.375551,0.0687028,5.95104
384.91,15.2405,0.0680667,0.0162158,8.43643
241235,11.3235,0.100222,0.0189561,8.27136
153291,8.90978,0.127958,0.0337588,7.13998
16.7639,3.16657,0.271179,0.0377169,6.7854
263513,12.1197,0.0937344,0.0156222,8.5098
31.3193,3.89692,0.257853,0.0374975,6.93407
99.5213,7.35545,0.140972,0.0314718,7.24731
76.8683,6.30996,0.171151,0.0347725,7.10908
136021,8.21372,0.132165,0.025954,7.72714
71.9927,6.07591,0.178645,0.0261938,7.61759
43.9774,4.31016,0.232406,0.0531051,6.32737
46.0662,4.38875,0.223217,0.031972,7.11947
107727,7.60459,0.143695,0.028392,7.41485
351951,13.6936,0.0859151,0.0183747,8.17833
91.6905,7.33662,0.136961,0.0248675,7.61013
26.0792,3.79287,0.252537,0.0345663,7.0232
281376,12.7889,0.0821034,0.0150081,8.59521
74.8352,6.03143,0.185577,0.0322548,7.39813
31.6702,4.00907,0.236565,0.028319,7.40671
146088,7.91383,0.163386,0.0311665,7.44193
121.76,7.55343,0.16274,0.0312739,7.35385
48.4822,4.95035,0.202282,0.0434725,6.82763
245027,11.2407,0.100606,0.0245209,7.65483
694839,13.9373,0.132714,0.0382411,7.53764
10.3756,2.41605,0.34496,0.0575617,6.09741
130.34,8.14333,0.137896,0.0196688,8.10424
114279,8.17673,0.122667,0.0221103,7.87613
86825,6.66584,0.154638,0.0302362,7.20483
165281,9.25844,0.124594,0.0199275,8.20204
14.5456,2.77738,0.31391,0.0629339,6.09713
134106,8.69977,0.121308,0.0220824,7.84117
42.6688,4.91677,0.202116,0.031653,7.13901
62.7562,6.05485,0.16716,0.0347447,6.91552
290259,8.71678,0.254166,0.082922,6.34745
58.9467,5.28263,0.196247,0.0381536,6.98204
265181,11858,0.102057,0.0162139,8.46318
284819,12784,0.083526,0.0231953,7.72176
503572,11.7523,0.161361,0.0226571,7.92581
55.2806,5.35773,0.181457,0.0337338,7.13374
125441,7.70162,0.162862,0.0235522,7.84372
31.6941,3.88739,0.250459,0.0499171,6.44914
91606,6.14779,0.180773,0.035484,7.15311
182124,8.13504,0.188178,0.029653,7.74165
204272,10.5015,0.108221,0.0215972,7.9711
126334,8.00293,0.156367,0.0746418,5.35239
95.6649,6.99903,0.162808,0.0311725,7.1635
37.5254,4.5603,0.211696,0.0428377,6.66334
19.7288,3.46416,0.247484,0.0528879,6.2819
220.17,10.8268,0.105913,0.0187896,8.23873
92.5258,6.52348,0.185691,0.0312375,7.37048
5.57486,1.45588,0.503815,0.102449,5.17116
8.41893,2.13312,0.383628,0.0703214,5.7378
334704,13.9536,0.0756368,0.0150737,8.61193
92.2181,6.99912,0.152446,0.0295843,7.28154
105032,7.18278,0.164915,0.0253073,7.68299
45.5275,4.93307,0.201755,0.0360663,6.92162
20.2727,3.72727,0.195911,0.184326,3.41249
25.7228,3.37993,0.296803,0.0586032,6.1763
47.6716,4.78347,0.231896,0.0374644,7.1251
36.4558,3.89772,0.257168,0.0617683,6.0334
76.1298,5.68268,0.198771,0.0394527,6.95165
34.7458,4.28316,0.222097,0.0521919,6.34461
103493,5.83208,0.236499,0.0316734,7.31686
18.6565,3.24723,0.277266,0.0380842,6.76753
44.0896,4.31679,0.266424,0.0399848,6.95492
11.1681,2.23809,0.402382,0.0594009,6.22704
129.51,6.96302,0.212631,0.0411312,7.16543
17.3655,3.13643,0.275655,0.0736185,5.54625
82.0766,6.39719,0.166063,0.0307718,7.30241
64.9062,5.9738,0.169996,0.0321833,7.11853
72.6822,6.40837,0.158783,0.0359726,6.97852
33.3961,4.35919,0.215873,0.0353588,7.07481
77.0013,5.66178,0.228715,0.0412589,7.03689
14.1804,2.51981,0.338304,0.0847151,5.57304
264638,11414,0.101392,0.0215975,8.02413
88.5073,5.39106,0.245471,0.0509299,6.64786
90.9869,6.11099,0.1919,0.0368597,7.00392
205361,10.4729,0.104068,0.0193513,8.18855
108205,7.41183,0.148076,0.0303685,7.38755
145243,8.67591,0.131487,0.0245246,7.72202
122294,7.45962,0.168567,0.0276276,7.6417
104819,7.70861,0.135341,0.0293069,7.37407
60.7319,5.64083,0.178887,0.0351013,7.12665
30.5963,3.9997,0.236093,0.0467102,6.50297
26.1485,3.63955,0.265626,0.0350833,7.04028
53.2714,5.40729,0.18688,0.03284,7.07162
43.4182,3.1546,0.425765,0.0768086,5.85677
312886,13561,0.0766204,0.0146594,8.6362
355652,14.4711,0.0716869,0.0151779,8.58407
57.5851,4.65457,0.271444,0.0370656,7.11369
12611,2.73025,0.303637,0.0615176,5.88839
48.2378,4.97134,0.218447,0.0381819,6.91188
149308,8.45939,0.147643,0.0253568,7.61568
54.4356,5.04642,0.213959,0.041372,6.86356
56.3856,4.09925,0.28802,0.0526975,6.23402
47.4748,4.82329,0.216427,0.0313665,7.36956
83.8865,6.56959,0.168943,0.0251354,7.62823
107207,6.81779,0.183719,0.0306911,7.41836
24.3321,3.62369,0.250702,0.0520274,6.27895
33794,4.30113,0.216221,0.0478481,6.44587
122462,7.12452,0.182136,0.0306958,7.53465
